,geo,TIME_PERIOD,CPI,Immigrants,Life Satisfaction,Population,Housing Index
0,Albania,2016,101.51,,,2876092.0,
1,Albania,2017,104.76,,,2873458.0,
2,Albania,2018,106.59,,5.5,2866376.0,
3,Albania,2019,108.39,,,2854191.0,
4,Albania,2020,110.74,,,2837848.0,
5,Albania,2021,113.26,,5.7,2811667.0,
6,Albania,2022,120.69,,,2777689.0,
7,Austria,1996,71.77,,,7959017.0,
8,Austria,1997,72.61,,,7968041.0,
9,Austria,1998,73.2,72723.0,,7976789.0,
10,Austria,1999,73.58,86710.0,,7992324.0,
11,Austria,2000,75.02,81675.0,,8011566.0,
12,Austria,2001,76.74,89928.0,,8042293.0,
13,Austria,2002,78.04,108125.0,,8081957.0,
14,Austria,2003,79.05,111869.0,,8121423.0,
15,Austria,2004,80.6,122547.0,,8171966.0,
16,Austria,2005,82.3,114465.0,,8227829.0,
17,Austria,2006,83.69,98535.0,,8268641.0,
18,Austria,2007,85.53,72862.0,,8295487.0,
19,Austria,2008,88.29,73772.0,,8321496.0,
20,Austria,2009,88.64,69295.0,,8343323.0,
21,Austria,2010,90.14,70978.0,,8363404.0,76.64
22,Austria,2010,90.14,70978.0,,8363404.0,77.52
23,Austria,2010,90.14,70978.0,,8363404.0,76.8
24,Austria,2011,93.35,82230.0,,8391643.0,81.46
25,Austria,2011,93.35,82230.0,,8391643.0,82.19
26,Austria,2011,93.35,82230.0,,8391643.0,81.6
27,Austria,2012,95.75,91557.0,,8429991.0,87.6
28,Austria,2012,95.75,91557.0,,8429991.0,87.39
29,Austria,2012,95.75,91557.0,,8429991.0,87.57
30,Austria,2013,97.77,101866.0,7.8,8479823.0,92.3
31,Austria,2013,97.77,101866.0,7.8,8479823.0,91.01
32,Austria,2013,97.77,101866.0,7.8,8479823.0,92.1
33,Austria,2014,99.2,116262.0,,8546356.0,95.27
34,Austria,2014,99.2,116262.0,,8546356.0,95.44
35,Austria,2014,99.2,116262.0,,8546356.0,95.33
36,Austria,2015,100.0,166323.0,,8642699.0,100.0
37,Austria,2015,100.0,166323.0,,8642699.0,100.0
38,Austria,2015,100.0,166323.0,,8642699.0,100.0
39,Austria,2016,100.97,129509.0,,8736668.0,109.42
40,Austria,2016,100.97,129509.0,,8736668.0,103.8
41,Austria,2016,100.97,129509.0,,8736668.0,108.53
42,Austria,2017,103.22,111801.0,,8797566.0,115.14
43,Austria,2017,103.22,111801.0,,8797566.0,109.97
44,Austria,2017,103.22,111801.0,,8797566.0,114.26
45,Austria,2018,105.41,105633.0,8.0,8840521.0,121.19
46,Austria,2018,105.41,105633.0,8.0,8840521.0,113.54
47,Austria,2018,105.41,105633.0,8.0,8840521.0,119.64
48,Austria,2019,106.98,109167.0,,8879920.0,128.14
49,Austria,2019,106.98,109167.0,,8879920.0,120.35
